"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/04/2024","AQS","160010010","1","1.1","ug/m3 LC","6","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/07/2024","AQS","160010010","1","7.9","ug/m3 LC","44","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/10/2024","AQS","160010010","1","2","ug/m3 LC","11","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/13/2024","AQS","160010010","1","1.1","ug/m3 LC","6","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/16/2024","AQS","160010010","1","7.1","ug/m3 LC","39","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/19/2024","AQS","160010010","1","5","ug/m3 LC","28","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/22/2024","AQS","160010010","1","2.7","ug/m3 LC","15","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/25/2024","AQS","160010010","1","2.1","ug/m3 LC","12","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/28/2024","AQS","160010010","1","1.4","ug/m3 LC","8","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"03/31/2024","AQS","160010010","1","1.8","ug/m3 LC","10","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/03/2024","AQS","160010010","1","2.6","ug/m3 LC","14","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/06/2024","AQS","160010010","1","1.7","ug/m3 LC","9","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/09/2024","AQS","160010010","1","2.8","ug/m3 LC","16","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/12/2024","AQS","160010010","1","3.2","ug/m3 LC","18","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/15/2024","AQS","160010010","1","2.8","ug/m3 LC","16","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
"04/18/2024","AQS","160010010","1","1.9","ug/m3 LC","11","Meridian - St. Luke's","1","100.0000","88101","PM2.5 - Local Conditions","545","Met One E-SEQ-FRM PM2.5 with VSCC","14260","Boise City, ID","16","Idaho","001","Ada","43.600699","-116.347853"
